Accuracy,Precision,Recall,F1 Score,Confusion Matrix,Training Time (s),Model
0.8403274030407769,0.7895269867746932,0.9827956989247312,0.8756235340755179,"13123, 7066; 464, 26506",1.0530953407287598,LogisticRegression
0.8591149091371743,0.8087181044957472,0.9871338524286244,0.8890632826849224,"13892, 6297; 347, 26623",0.5537149906158447,XGBoost
0.996361159758708,0.9940601365061796,0.9990359658880236,0.9965418400369856,"24259, 161; 26, 26944",5.469682216644287,RandomForest
0.9963236009259079,0.9941690962099126,0.9988505747126437,0.9965043372112379,"24281, 158; 31, 26939",0.14182639122009277,DecisionTree
